Date,Open,High,Low,Close,Volume,Adj Close
2014-09-01,23.90,23.90,23.90,23.90,000,23.90
2014-08-29,24.00,24.00,23.80,23.90,26100,23.90
2014-08-28,24.20,24.20,24.20,24.20,900,24.20
2014-08-27,24.20,24.20,24.20,24.20,600,24.20
2014-08-26,24.15,24.35,24.10,24.15,21000,24.15
2014-08-25,24.15,24.30,24.10,24.20,12600,24.20
2014-08-22,24.15,25.00,24.15,24.30,24600,24.30
2014-08-21,24.25,24.25,24.10,24.15,2700,24.15
2014-08-20,24.30,24.35,24.25,24.25,4500,24.25
2014-08-19,24.15,24.25,24.10,24.30,25500,24.30
2014-08-18,24.50,24.50,24.50,24.50,000,24.50
2014-08-15,24.50,24.50,24.50,24.50,300,24.50
2014-08-14,24.95,24.95,24.70,24.70,7800,24.70
2014-08-13,24.35,24.60,24.35,24.60,600,24.60
2014-08-12,24.15,24.50,24.00,24.45,22800,24.45
2014-08-11,24.50,24.60,24.50,24.60,4200,24.60
2014-08-08,24.25,25.00,24.15,25.00,7500,25.00
2014-08-07,24.55,24.55,24.55,24.55,300,24.55
2014-08-06,24.65,24.65,24.55,24.55,4200,24.55
2014-08-05,25.25,25.25,24.80,25.15,17400,25.15
2014-08-04,25.35,25.35,25.20,25.25,11700,25.25
2014-08-01,25.30,25.40,24.90,25.10,16500,25.10
2014-07-31,25.20,25.80,25.20,25.30,32700,25.30
2014-07-30,24.80,25.65,24.80,25.15,23400,25.15
2014-07-29,25.00,25.45,25.00,25.25,58200,25.25
2014-07-28,24.60,24.90,24.60,24.80,20700,24.80
2014-07-25,24.30,24.45,24.30,24.30,13200,24.30
2014-07-24,24.15,24.65,24.00,24.30,30600,24.30
2014-07-23,24.40,24.60,24.00,24.30,11400,24.30
2014-07-22,24.05,24.40,24.05,24.40,1500,24.40
2014-07-21,24.00,25.00,24.00,24.60,16500,24.60
2014-07-18,24.35,24.45,24.00,24.00,8700,24.00
2014-07-17,24.85,24.85,24.85,24.85,1200,24.85
2014-07-16,24.55,24.55,24.55,24.55,000,24.55
2014-07-15,24.55,24.55,24.55,24.55,000,24.55
2014-07-14,24.20,25.00,24.20,24.45,8100,24.45
2014-07-11,24.80,24.95,24.10,24.50,31200,24.50
2014-07-10,25.00,25.05,24.30,25.00,9000,25.00
2014-07-09,24.80,24.80,24.00,24.65,10200,24.65
2014-07-08,25.00,25.00,24.80,24.80,2100,24.80
2014-07-07,25.05,25.05,25.05,25.05,000,25.05
2014-07-04,25.00,25.05,25.00,25.05,4800,25.05
2014-07-03,24.80,25.00,24.85,25.00,6900,25.00
2014-07-02,23.80,24.85,23.80,24.85,900,24.85
2014-07-01,25.20,25.20,25.20,25.20,000,25.20
2014-06-30,24.80,25.80,24.75,25.20,49200,25.20
